,city,temp_min,temp_max,humidity,latitude,longitude,clouds,wind_speed,date_time,country
31,Khatanga,265.486,265.486,84,71.98,102.47,88,2.32,1540840035,RU
32,Saint-Philippe,277.15,280.65,87,45.36,-73.48,90,3.6,1540838160,CA
33,San Patricio,302.086,302.086,58,-26.98,-56.83,0,1.47,1540840035,PY
34,East London,295.15,295.15,78,-33.02,27.91,0,6.7,1540836000,ZA
35,Canberra,283.15,283.15,81,-35.3,149.1,40,2.1,1540837800,AU
36,Harboore,277.15,277.15,86,56.62,8.18,88,8.7,1540839240,DK
37,Sao Filipe,299.286,299.286,93,14.9,-24.5,36,5.72,1540840036,CV
38,Kodiak,293.75,293.75,28,39.95,-94.76,1,6.7,1540839180,US
39,Georgetown,306.15,306.15,59,6.8,-58.16,75,7.2,1540836000,GY
40,Bluff,294.661,294.661,89,-23.58,149.07,92,4.87,1540840038,AU
41,Mayo,262.15,262.15,92,63.59,-135.9,40,1.57,1540836000,CA
42,Emba,291.15,292.15,72,34.81,32.42,0,1.5,1540837800,CY
43,Bacolod,298.236,298.236,90,10.68,122.95,48,5.37,1540840039,PH
44,Fortuna,287.15,288.15,33,38.18,-1.13,0,7.7,1540837800,ES
45,Carnarvon,300.561,300.561,18,-30.97,22.13,88,10.07,1540840039,ZA
46,Dikson,269.911,269.911,100,73.51,80.55,80,6.92,1540840040,RU
47,Tiksi,263.436,263.436,82,71.64,128.87,20,3.77,1540840040,RU
48,Cherskiy,260.836,260.836,81,68.75,161.3,80,2.62,1540840040,RU
49,Hithadhoo,301.636,301.636,100,-0.6,73.08,100,4.42,1540840040,MV
50,Saskylakh,263.711,263.711,86,71.97,114.09,88,1.77,1540840041,RU
51,Ambilobe,297.886,297.886,73,-13.19,49.05,92,1.77,1540840041,MG
52,Chuka,293.911,293.911,84,-0.33,37.65,80,1.12,1540840041,KE
53,The Valley,302.15,303.15,58,18.22,-63.06,40,3.6,1540836000,AI
54,San Carlos de Bariloche,288.15,288.15,51,-41.13,-71.31,40,8.7,1540836000,AR
55,Mount Isa,302.15,302.15,21,-20.73,139.49,0,3.6,1540837800,AU
56,Maputo,296.15,296.15,69,-25.97,32.57,20,7.2,1540836000,MZ
57,Narsaq,268.15,268.15,53,60.91,-46.05,20,2.1,1540839000,GL
58,Faanui,299.786,299.786,100,-16.48,-151.75,32,2.52,1540840043,PF
59,Dabakala,300.311,300.311,78,8.36,-4.43,44,1.42,1540840043,CI
60,Les Cayes,300.586,300.586,100,18.19,-73.75,36,2.62,1540840043,HT
61,Kapaa,297.55,298.75,81,22.08,-159.32,20,1.5,1540835760,US
62,Cayenne,305.15,305.15,62,4.94,-52.33,0,4.1,1540837800,GF
63,Henties Bay,291.536,291.536,89,-22.12,14.28,0,4.37,1540840044,NA
64,Butaritari,302.886,302.886,100,3.07,172.79,100,3.47,1540840045,KI
65,High Level,271.15,271.15,92,58.52,-117.13,90,1.47,1540838160,CA
66,Albany,280.35,283.15,68,42.65,-73.75,75,5.7,1540839240,US
67,Victoria,298.15,299.15,88,5.28,115.24,75,1.0,1540837800,BN
68,Batagay-Alyta,255.036,255.036,41,67.8,130.41,0,1.17,1540840046,RU
69,Nome,300.85,302.55,39,30.04,-94.42,1,3.6,1540839300,US
70,Kaeo,284.886,284.886,97,-35.1,173.78,64,6.22,1540839771,NZ
71,Nioro,304.711,304.711,65,13.79,-15.05,24,1.82,1540840047,GM
72,Hilo,290.25,297.05,90,19.71,-155.08,90,3.1,1540838700,US
73,Saldanha,280.411,280.411,68,41.42,-6.55,88,4.32,1540839926,PT
74,Aklavik,266.15,267.15,100,68.22,-135.01,90,2.6,1540838520,CA
75,Thai Binh,294.336,294.336,98,20.45,106.33,8,1.52,1540840047,VN
76,Provideniya,274.411,274.411,100,64.42,-173.23,88,0.82,1540840048,RU
77,Jamestown,281.161,281.161,86,-33.21,138.6,0,1.32,1540840048,AU
78,Beyneu,274.961,274.961,74,45.32,55.19,12,2.47,1540840048,KZ
79,Havelock,293.75,294.85,33,34.88,-76.9,1,8.2,1540839240,US
80,Berlevag,275.15,278.15,100,70.86,29.09,40,9.3,1540839000,NO
81,Mopti,305.15,305.15,35,14.49,-4.19,20,4.1,1540836000,ML
82,Barrow,292.036,292.036,97,-38.31,-60.23,20,8.17,1540840035,AR
